,price,buy_prob,sell_prob,signal
20560,21617.3654818,0.32205802,0.5612349,0
20561,21489.44232891,0.3742636,0.47231126,2
20562,21654.37032174,0.31991163,0.5072414,0
20563,21792.51923368,0.40100643,0.4569399,2
20564,22429.76858101,0.3252264,0.558612,0
20565,22345.36654817,0.3293334,0.51578194,0
20566,22054.48099018,0.41500142,0.43688533,2
20567,22093.27196396,0.3896072,0.48294574,2
20568,21898.71299889,0.3906675,0.48613605,2
20569,21892.34062981,0.3887574,0.4820537,2
20570,21996.64056274,0.39690763,0.4467707,2
20571,21758.19303585,0.43822443,0.38720948,2
20572,21762.96381578,0.47280934,0.3186819,2
20573,21919.95618684,0.42581597,0.42047605,2
20574,21905.39241796,0.3668895,0.47155702,2
20575,22002.18814729,0.3811885,0.447153,2
20576,21972.60870726,0.37643912,0.46776727,2
20577,22174.26624196,0.4698821,0.34564486,2
20578,22319.30617119,0.40646222,0.46932158,2
20579,22627.57851731,0.34469143,0.52529794,0
20580,23132.79421759,0.41294706,0.44488847,2
20581,23236.58115448,0.3863332,0.4778035,2
20582,23462.04091687,0.45296332,0.36949846,2
20583,23412.74451398,0.39443597,0.44163278,2
20584,23404.54932862,0.35982996,0.49699584,2
20585,23302.61338307,0.40176648,0.46031034,2
20586,23654.6803354,0.3872058,0.43910697,2
20587,23501.03866778,0.38222924,0.43296134,2
20588,23395.82970996,0.41076872,0.4090046,2
20589,23034.21768109,0.3877421,0.4599051,2
20590,23258.10598425,0.39222568,0.45493808,2
20591,23370.18646981,0.3930987,0.44008565,2
20592,23437.35608482,0.41302213,0.42275596,2
20593,23395.01346871,0.38706335,0.42578992,2
20594,23499.80942781,0.41964018,0.39010206,2
20595,23783.91115959,0.41370523,0.40477964,2
20596,23383.19304563,0.37766662,0.47517025,2
20597,23367.46081104,0.39872226,0.4706249,2
20598,23526.87693137,0.37539408,0.43983823,2
20599,23710.22634221,0.4380886,0.4076628,2
20600,23729.89142399,0.36885664,0.4654878,2
20601,23806.40168259,0.3748672,0.48060927,2
20602,23784.57741913,0.35361066,0.5100609,2
20603,24197.35974949,0.45443895,0.388881,2
20604,24178.77347244,0.42846593,0.40518734,2
20605,23698.62831442,0.4224665,0.44842628,2
20606,23518.97462833,0.5009053,0.3456833,2
20607,23764.7526661,0.37946805,0.49821422,2
20608,23662.32847689,0.4429353,0.35707498,2
20609,23260.52060227,0.34897798,0.51373947,0
20610,23611.89603582,0.3998367,0.383294,2
20611,23310.50599275,0.41742343,0.3593489,2
20612,23225.331904,0.42436495,0.43990263,2
20613,23251.14452712,0.40758538,0.43683007,2
20614,23236.39638353,0.32162994,0.4897263,0
20615,22696.01034686,0.43216848,0.41566733,2
20616,22776.95662834,0.3492597,0.44589096,0
20617,22881.79577015,0.38409498,0.44817415,2
20618,22941.0499182,0.36105707,0.47274572,2
20619,22789.59868285,0.40966973,0.40332615,2
20620,22932.24967716,0.40180865,0.42864314,2
20621,22875.67137914,0.38656867,0.4635273,2
20622,23003.21887593,0.41547137,0.3776141,2
20623,22869.00927223,0.45779234,0.37034068,2
20624,22605.34094524,0.36930478,0.48831624,2
20625,22801.13864493,0.5040904,0.3434813,2
20626,22704.69619144,0.4414464,0.42182574,2
20627,22559.06115479,0.3576304,0.50717425,2
20628,22642.89893484,0.34638336,0.5247115,0
20629,23035.96263158,0.36930478,0.48831624,2
20630,22854.89948848,0.46305695,0.36983252,2
20631,22930.43580765,0.38770637,0.4617981,2
20632,23200.68180746,0.43832988,0.37897784,2
20633,23123.03574006,0.4619904,0.37996006,2
20634,23211.12010221,0.41319606,0.40697584,2
20635,23020.39009696,0.37718984,0.46548337,2
20636,23152.59364688,0.3707914,0.45112446,2
20637,23271.66722122,0.38656867,0.4635273,2
20638,23105.3035996,0.3809506,0.43063775,2
20639,22987.52744521,0.400199,0.41518041,2
20640,22912.15104883,0.38084048,0.42991218,2
20641,22970.55349803,0.4256145,0.36643368,2
20642,23151.47613948,0.37834078,0.43544117,2
20643,23168.58987061,0.4255948,0.4102679,2
20644,23120.80027522,0.3927811,0.45578897,2
20645,23300.28745085,0.34469143,0.52529794,0
20646,23452.98602228,0.34394747,0.5207489,0
20647,23439.71081407,0.44263077,0.41257727,2
20648,23613.3271203,0.33432016,0.5267802,0
20649,23595.17976054,0.38942248,0.4550267,2
20650,23462.35676706,0.37262726,0.50028616,2
20651,23666.76550464,0.37296656,0.49859136,2
20652,23292.03721233,0.41710094,0.45543158,2
20653,23111.01127135,0.3411946,0.5415709,0
20654,23018.25325126,0.41369897,0.44286036,2
20655,23026.83448487,0.34294462,0.4853801,0
20656,22590.7842829,0.38140416,0.4866194,2
20657,22605.15216079,0.45583498,0.35708115,2
20658,22737.83604911,0.35995063,0.4108534,2
20659,22727.20685973,0.37802526,0.40705988,2
20660,22685.28187766,0.33809602,0.46614918,0
20661,22772.02794528,0.38371152,0.44532982,2
20662,22787.652612,0.35179713,0.39290679,2
20663,22837.16431386,0.39253384,0.38894314,2
20664,22810.67277117,0.39202943,0.38972825,2
20665,22899.13628899,0.42553192,0.3915941,2
20666,22903.74770867,0.4192719,0.39265725,2
20667,22829.20474727,0.4114353,0.3812684,2
20668,22772.38146887,0.4008912,0.40251166,2
20669,22611.19932618,0.38416654,0.48722482,2
20670,22667.37925277,0.35647258,0.4833743,2
20671,22513.67786101,0.46132436,0.37807718,2
20672,22229.40476643,0.31966007,0.5436598,0
20673,22283.58229226,0.3443033,0.51752764,0
20674,22343.21144077,0.46612048,0.31740233,2
20675,22150.50143265,0.39098385,0.4667708,2
20676,22216.89970767,0.49953985,0.33491594,2
20677,22189.804292,0.38716224,0.3940127,2
20678,22032.32218746,0.37157437,0.48112693,2
20679,22075.89282751,0.42563164,0.39787817,2
20680,22273.20597221,0.3312718,0.5198971,0
20681,22327.24167968,0.38134465,0.47000426,2
20682,22244.95134189,0.38032198,0.45003116,2
20683,22470.60086271,0.4341312,0.4115359,2
20684,22450.73528306,0.38352138,0.4654292,2
20685,22549.54065459,0.39813042,0.46858612,2
20686,22423.63322805,0.41922122,0.39071098,2
20687,22468.89834609,0.39919156,0.40243056,2
20688,22334.33546685,0.3763305,0.40150988,2
20689,22397.49761604,0.4094475,0.34873387,2
