prob_sell,prob_hold,prob_buy,predicted_signal
0.23978674,0.47113606,0.2890772,0
0.3304879,0.33661705,0.332895,0
0.33919972,0.34928036,0.3115199,0
0.3747452,0.25886226,0.36639255,0
0.37433928,0.3322784,0.29338232,0
0.28644794,0.4232568,0.2902953,0
0.37261647,0.24493746,0.38244602,-1
0.34950337,0.31696585,0.33353084,0
0.35218263,0.30561116,0.34220618,0
0.3152944,0.35549375,0.32921183,0
0.38109604,0.25017157,0.36873233,1
0.37340528,0.29129025,0.3353045,0
0.37392524,0.26916432,0.35691047,0
0.33527234,0.32791936,0.33680826,0
0.3551699,0.3345493,0.31028077,0
0.33499807,0.35374293,0.31125897,0
0.26335627,0.42927164,0.30737215,0
0.29721344,0.40383887,0.29894775,0
0.3729453,0.2694578,0.35759696,0
0.37892097,0.24687582,0.3742032,1
0.36682677,0.30216792,0.3310053,0
0.3091733,0.39984983,0.29097688,0
0.331797,0.34194183,0.3262612,0
0.3285462,0.36952788,0.30192587,0
0.3598851,0.34204182,0.29807305,0
0.30730024,0.36709437,0.3256054,0
0.32689372,0.32994068,0.34316558,0
0.32655552,0.3667109,0.3067336,0
0.31535658,0.36092833,0.32371512,0
0.3501934,0.38240764,0.26739895,0
0.3701744,0.2704352,0.35939035,0
0.36888972,0.30154052,0.32956982,0
0.37156063,0.26464742,0.36379188,0
0.3347677,0.3268389,0.3383934,0
0.397943,0.26125553,0.34080148,1
0.36978674,0.27527383,0.35493934,0
0.35799193,0.30270705,0.339301,0
0.2964373,0.41290364,0.29065907,0
0.30298218,0.37345377,0.32356414,0
0.3442561,0.3487327,0.30701116,0
0.30480093,0.36787185,0.32732725,0
0.31160718,0.4142798,0.27411306,0
0.26909152,0.4298508,0.30105767,0
0.34635577,0.3046219,0.3490224,0
0.37538317,0.277674,0.34694284,1
0.348873,0.29909375,0.3520333,0
0.37366745,0.26925355,0.357079,0
0.31261882,0.35406807,0.33331317,0
0.37398964,0.25076944,0.37524098,-1
0.37174922,0.26212978,0.366121,0
0.36755648,0.2596423,0.37280124,0
0.3470711,0.34516802,0.30776086,0
0.29019025,0.3934754,0.31633434,0
0.30605134,0.4052388,0.28870982,0
0.38857612,0.23011461,0.3813092,0
0.37193054,0.27480328,0.35326615,0
0.32729486,0.34229967,0.33040547,0
0.37331674,0.26286206,0.36382115,0
0.387932,0.2314451,0.38062295,0
0.327286,0.32367554,0.34903848,0
0.29843405,0.37115315,0.3304128,0
0.30880713,0.36564067,0.32555225,0
0.3531612,0.32291737,0.32392147,0
0.31654832,0.3923153,0.29113635,0
0.24458048,0.47186407,0.28355545,0
0.29334083,0.39614686,0.31051233,0
0.34743366,0.34233448,0.31023186,0
0.3303912,0.33050984,0.339099,0
0.35709012,0.33225524,0.3106547,0
0.30018416,0.42414978,0.27566606,0
0.23419848,0.54167706,0.22412446,0
0.3170869,0.3979318,0.2849813,0
0.3151392,0.3872925,0.29756823,0
0.23155189,0.4999858,0.26846224,0
0.35783252,0.2902471,0.3519203,0
0.36485696,0.31988752,0.31525555,0
0.28829616,0.39460164,0.3171022,0
0.2740314,0.42895904,0.29700956,0
0.33574322,0.33269578,0.33156103,0
0.35349676,0.32549834,0.321005,0
0.3560456,0.31469885,0.32925555,0
0.36633524,0.33083606,0.30282876,0
0.27804974,0.42034608,0.30160427,0
0.29445118,0.44995925,0.2555896,0
0.24180359,0.48189613,0.27630028,0
0.29983333,0.38581616,0.31435055,0
0.37343636,0.2693335,0.35723013,0
0.33481944,0.3298378,0.33534274,0
0.35081148,0.30501708,0.34417152,0
0.2977576,0.38912922,0.31311312,0
0.30393112,0.37251312,0.3235558,0
0.35088223,0.3318275,0.31729028,0
0.3544156,0.32777992,0.3178045,0
0.28009987,0.40477777,0.31512243,0
0.37366477,0.2703868,0.35594848,0
0.34437642,0.3028618,0.35276178,0
0.3741102,0.2627577,0.36313206,0
0.33209097,0.3603997,0.30750933,0
0.32265726,0.36996782,0.30737495,0
0.3771741,0.24738385,0.37544206,0
0.34222066,0.31521603,0.34256327,0
0.39774358,0.2900366,0.3122199,1
0.37512177,0.2681087,0.35676956,1
0.3958607,0.30076042,0.30337888,1
0.31590003,0.34992874,0.3341712,0
0.37587604,0.26534346,0.3587805,1
0.36974952,0.27474967,0.35550085,0
0.37542892,0.26754314,0.3570279,1
0.39153802,0.31279272,0.29566932,1
0.37437788,0.26010567,0.36551645,0
0.37738395,0.26019573,0.3624203,1
0.3295375,0.33684784,0.33361468,0
0.2840926,0.45915523,0.25675213,0
0.31637636,0.35199025,0.33163336,0
0.37608105,0.26021147,0.3637075,1
0.33021086,0.32467628,0.3451128,0
0.37343633,0.26933348,0.3572301,0
0.32023916,0.3539446,0.3258162,0
0.33189625,0.32679522,0.34130853,0
0.35934627,0.28649694,0.35415676,0
0.36598274,0.27988675,0.35413042,0
0.31135413,0.35418478,0.33446106,0
0.34328592,0.33243957,0.32427454,0
0.30708975,0.36965433,0.32325587,0
0.38876393,0.27027702,0.34095904,1
0.38080785,0.30274168,0.31645048,1
0.3578439,0.2965416,0.34561455,0
0.37361357,0.2688051,0.35758132,0
0.3800077,0.2485794,0.37141287,1
0.37637877,0.26369202,0.35992923,1
0.38284665,0.3075363,0.3096171,1
0.3558437,0.33823702,0.3059193,0
0.34097648,0.3241568,0.33486667,0
0.37745148,0.26942387,0.35312462,1
0.42772716,0.2921751,0.28009778,1
0.30452833,0.39557195,0.29989976,0
0.30435598,0.3690282,0.32661584,0
0.29852936,0.38606626,0.31540444,0
0.33416605,0.33162338,0.33421057,0
0.33344966,0.36038646,0.3061639,0
0.31571832,0.38894057,0.29534113,0
0.36408684,0.29265025,0.34326288,0
0.32885087,0.33751273,0.33363646,0
0.31184146,0.36041343,0.32774517,0
0.38920736,0.26698634,0.3438063,1
0.35209578,0.29398775,0.35391647,0
0.3134667,0.3637778,0.3227555,0
0.33134583,0.32939842,0.33925575,0
0.3585986,0.35620615,0.2851953,0
0.38266927,0.23963638,0.3776943,0
0.41076463,0.26572412,0.32351127,1
0.3460591,0.316116,0.33782485,0
0.3418372,0.34086287,0.31729993,0
0.28748912,0.40565893,0.30685192,0
0.37195906,0.27189323,0.3561477,0
0.36273962,0.2878224,0.349438,0
0.37524685,0.26870197,0.3560512,1
0.39039698,0.26256594,0.34703708,1
0.37963715,0.25894803,0.3614148,1
0.33587205,0.32360122,0.34052673,0
0.37543175,0.25758392,0.36698434,1
0.36970675,0.30329004,0.32700312,0
0.31037194,0.3886634,0.3009646,0
0.37252906,0.25762904,0.36984184,0
0.304814,0.46462587,0.23056008,0
0.2662308,0.48472387,0.24904524,0
0.27049413,0.4379646,0.29154128,0
0.30343336,0.37593558,0.32063106,0
0.32047188,0.35243165,0.32709646,0
0.37241635,0.29606438,0.3315193,0
0.35613152,0.348508,0.29536045,0
0.35330838,0.32621083,0.32048082,0
0.3916673,0.25269705,0.35563564,1
0.34045205,0.32083637,0.3387115,0
0.34835857,0.31175098,0.3398905,0
0.37353185,0.26911125,0.35735688,0
0.37527847,0.26866978,0.3560517,1
0.37564585,0.26827744,0.35607675,1
0.3741714,0.2689165,0.3569121,0
0.37647742,0.25851572,0.36500686,1
0.36707327,0.29591253,0.33701426,0
0.30141276,0.38270086,0.31588635,0
0.27588135,0.42263973,0.30147895,0
0.3806053,0.25710118,0.3622935,1
0.33771217,0.3674731,0.29481477,0
0.23987272,0.48537096,0.27475634,0
0.25545567,0.4446481,0.29989624,0
0.3173909,0.3728181,0.30979097,0
0.27056852,0.42479837,0.3046331,0
0.29895544,0.41527492,0.28576967,0
0.371485,0.2678349,0.36068013,0
0.37524423,0.29555035,0.32920545,1
0.36582235,0.28811514,0.34606245,0
0.35380748,0.32040715,0.3257854,0
0.40563744,0.28296655,0.31139603,1
0.32796007,0.33576205,0.33627787,0
0.35415772,0.3348739,0.31096834,0
0.28942904,0.40145162,0.3091193,0
0.3730441,0.26890892,0.35804695,0
0.3511091,0.32238472,0.32650614,0
0.37582847,0.2662894,0.3578821,1
0.3364949,0.3266514,0.33685374,0
0.418304,0.2840167,0.29767936,1
0.37292323,0.2604015,0.36667535,0
0.29029682,0.39599875,0.3137044,0
0.29094633,0.38402,0.32503375,0
0.28774613,0.40493464,0.3073193,0
0.33935127,0.3609674,0.29968128,0
0.37527585,0.26837125,0.3563529,1
0.36574063,0.28625908,0.3480003,0
0.31814998,0.38877168,0.29307836,0
0.28666353,0.41042832,0.30290824,0
0.24118319,0.4610337,0.2977831,0
0.34775236,0.31116033,0.34108722,0
0.32489714,0.3434434,0.3316595,0
0.33767605,0.32586968,0.33645427,0
0.31317595,0.38931867,0.2975054,0
0.3316812,0.38533044,0.28298843,0
0.26557192,0.42793915,0.30648893,0
0.22253378,0.5231468,0.25431943,0
0.30122024,0.39052457,0.30825529,0
0.33978885,0.3481068,0.3121043,0
0.26408628,0.44305864,0.29285508,0
0.37359643,0.26605928,0.36034426,0
